Ligand,MATCHED_RECRUITERS
03M,"LR00273,LR00274"
08A,"LR00191,LR00192"
0DQ,"LR00256,LR00593"
0EH,"LR00300,LR00312,LR00333,LR00337,LR00350,LR00351,LR00369"
1AQ,"LR00563,LR00596"
28W,"LR00298,LR00299"
3JF,"LR00509,LR00542"
4ID,"LR00162,LR00163"
6CW,"LR00261,LR00262,LR00263,LR00334"
6GG,"LR00321,LR00322"
7H9,"LR00582,LR00601"
85C,"LR00021,LR00111"
8W7,"LR00022,LR00048,LR00059,LR00085"
9E7,"LR00331,LR00332"
A23,"LR00451,LR00452"
A34,"LR00400,LR00401"
CHG,"LR00257,LR00589,LR00594"
EF2,"LR00006,LR00010,LR00012,LR00016,LR00017,LR00018,LR00019,LR00023,LR00024,LR00029,LR00032,LR00033,LR00034,LR00035,LR00036,LR00037,LR00040,LR00044,LR00050,LR00065"
EF6,"LR00145,LR00146,LR00147"
FUU,"LR00158,LR00159"
HRE,"LR00342,LR00347"
I18,"LR00283,LR00284"
IMZ,"LR00258,LR00259"
J6N,"LR00184,LR00185"
JH9,"LR00385,LR00386"
K1G,"LR00403,LR00404"
LQH,"LR00120,LR00121,LR00122,LR00123,LR00124"
LVY,"LR00007,LR00009,LR00014,LR00020,LR00079,LR00097"
LWK,"LR00052,LR00061"
MIQ,"LR00082,LR00083"
NUT,"LR00281,LR00282,LR00320,LR00335,LR00336,LR00359,LR00360,LR00361,LR00370,LR00371,LR00375,LR00376,LR00377"
O6M,"LR00142,LR00143"
QFC,"LR00055,LR00056,LR00057,LR00058,LR00077,LR00080"
REI,"LR00539,LR00548"
RN9,"LR00046,LR00096"
RZJ,"LR00424,LR00425"
S0V,"LR00405,LR00406"
SMK,"LR00561,LR00591"
V3L,"LR00379,LR00380"
VHL,"LR00540,LR00549"
VM3,"LR00128,LR00129"
VM8,"LR00126,LR00127"
VMZ,"LR00132,LR00133"
VUF,"LR00134,LR00135"
WW8,"LR00267,LR00268,LR00374"
X22,"LR00558,LR00560"
Y70,"LR00008,LR00011,LR00013,LR00026,LR00027,LR00042,LR00060,LR00063,LR00081,LR00086,LR00087"
