Ligand,RECRUITER_CODE,smiles_atom_index,smile_atom
03M,LR00273,0,C
03M,LR00273,1,C
03M,LR00273,2,C
03M,LR00273,3,Cl
03M,LR00273,4,C
03M,LR00273,5,C
03M,LR00273,6,C
03M,LR00273,7,C
03M,LR00273,8,N
03M,LR00273,9,C
03M,LR00273,10,C
03M,LR00273,11,C
03M,LR00273,12,C
03M,LR00273,13,N
03M,LR00273,14,C
03M,LR00273,15,O
03M,LR00273,16,N
03M,LR00273,17,C
03M,LR00273,18,C
03M,LR00273,19,C
03M,LR00273,20,C
03M,LR00273,21,C
03M,LR00273,22,F
03M,LR00273,23,C
03M,LR00273,24,F
03M,LR00273,25,C
03M,LR00273,26,C
03M,LR00273,27,O
03M,LR00274,0,C
03M,LR00274,1,C
03M,LR00274,2,C
03M,LR00274,3,Cl
03M,LR00274,4,C
03M,LR00274,5,C
03M,LR00274,6,C
03M,LR00274,7,C
03M,LR00274,8,N
03M,LR00274,9,C
03M,LR00274,10,C
03M,LR00274,11,C
03M,LR00274,12,C
03M,LR00274,13,N
03M,LR00274,14,C
03M,LR00274,15,O
03M,LR00274,16,N
03M,LR00274,17,C
03M,LR00274,18,C
03M,LR00274,19,C
03M,LR00274,20,C
03M,LR00274,21,C
03M,LR00274,22,F
03M,LR00274,23,C
03M,LR00274,24,F
03M,LR00274,25,C
03M,LR00274,26,C
03M,LR00274,27,O
07G,LR00272,0,C
07G,LR00272,1,C
07G,LR00272,2,C
07G,LR00272,3,C
07G,LR00272,4,N
07G,LR00272,5,C
07G,LR00272,6,O
07G,LR00272,7,C
07G,LR00272,8,C
07G,LR00272,9,C
07G,LR00272,10,C
07G,LR00272,11,C
07G,LR00272,12,C
07G,LR00272,13,Cl
07G,LR00272,14,C
07G,LR00272,15,C
07G,LR00272,16,N
07G,LR00272,17,C
07G,LR00272,18,C
07G,LR00272,19,O
07G,LR00272,20,O
07G,LR00272,21,N
07G,LR00272,22,C
07G,LR00272,23,O
07G,LR00272,24,C
07G,LR00272,25,C
07G,LR00272,26,C
07G,LR00272,27,C
07G,LR00272,28,C
07G,LR00272,29,F
07G,LR00272,30,C
07G,LR00272,31,F
07G,LR00272,32,C
08A,LR00191,0,C
08A,LR00191,1,C
08A,LR00191,2,N
08A,LR00191,3,N
08A,LR00191,4,N
08A,LR00191,5,C
08A,LR00191,6,C
08A,LR00191,7,C
08A,LR00191,8,C
08A,LR00191,9,C
08A,LR00191,10,C
08A,LR00191,11,C
08A,LR00191,12,O
08A,LR00191,13,O
08A,LR00191,14,C
08A,LR00191,15,C
08A,LR00191,16,C
08A,LR00191,17,C
08A,LR00191,18,C
08A,LR00191,19,C
08A,LR00191,20,C
08A,LR00191,21,N
08A,LR00191,22,C
08A,LR00191,23,O
08A,LR00191,24,C
08A,LR00191,25,C
08A,LR00191,26,C
08A,LR00191,27,C
08A,LR00191,28,C
08A,LR00191,29,C
08A,LR00191,30,C
08A,LR00191,31,C
08A,LR00191,32,C
08A,LR00191,33,C
08A,LR00191,34,C
08A,LR00191,35,C
08A,LR00192,0,C
08A,LR00192,1,C
08A,LR00192,2,N
08A,LR00192,3,N
08A,LR00192,4,N
08A,LR00192,5,C
08A,LR00192,6,C
08A,LR00192,7,C
08A,LR00192,8,C
08A,LR00192,9,C
08A,LR00192,10,C
08A,LR00192,11,C
08A,LR00192,12,O
08A,LR00192,13,O
08A,LR00192,14,C
08A,LR00192,15,C
08A,LR00192,16,C
08A,LR00192,17,C
08A,LR00192,18,C
08A,LR00192,19,C
08A,LR00192,20,C
08A,LR00192,21,N
08A,LR00192,22,C
08A,LR00192,23,O
08A,LR00192,24,C
08A,LR00192,25,C
08A,LR00192,26,C
08A,LR00192,27,C
08A,LR00192,28,C
08A,LR00192,29,C
08A,LR00192,30,C
08A,LR00192,31,C
08A,LR00192,32,C
08A,LR00192,33,C
08A,LR00192,34,C
08A,LR00192,35,C
0DQ,LR00256,0,N
0DQ,LR00256,1,C
0DQ,LR00256,2,S
0DQ,LR00256,3,N
0DQ,LR00256,4,N
0DQ,LR00256,5,C
0DQ,LR00256,6,C
0DQ,LR00256,7,C
0DQ,LR00256,8,C
0DQ,LR00256,9,C
0DQ,LR00256,10,C
0DQ,LR00256,11,C
0DQ,LR00593,0,N
0DQ,LR00593,1,C
0DQ,LR00593,2,S
0DQ,LR00593,3,N
0DQ,LR00593,4,N
0DQ,LR00593,5,C
0DQ,LR00593,6,C
0DQ,LR00593,7,C
0DQ,LR00593,8,C
0DQ,LR00593,9,C
0DQ,LR00593,10,C
0DQ,LR00593,11,C
0EH,LR00300,0,C
0EH,LR00300,1,C
0EH,LR00300,2,C
0EH,LR00300,3,C
0EH,LR00300,4,C
0EH,LR00300,5,C
0EH,LR00300,6,C
0EH,LR00300,7,C
0EH,LR00300,8,C
0EH,LR00300,9,N
0EH,LR00300,10,C
0EH,LR00300,11,O
0EH,LR00312,0,C
0EH,LR00312,1,C
0EH,LR00312,2,C
0EH,LR00312,3,C
0EH,LR00312,4,C
0EH,LR00312,5,C
0EH,LR00312,6,C
0EH,LR00312,7,C
0EH,LR00312,8,C
0EH,LR00312,9,N
0EH,LR00312,10,C
0EH,LR00312,11,O
0EH,LR00333,0,C
0EH,LR00333,1,C
0EH,LR00333,2,C
0EH,LR00333,3,C
0EH,LR00333,4,C
0EH,LR00333,5,C
0EH,LR00333,6,C
0EH,LR00333,7,C
0EH,LR00333,8,C
0EH,LR00333,9,N
0EH,LR00333,10,C
0EH,LR00333,11,O
0EH,LR00337,0,C
0EH,LR00337,1,C
0EH,LR00337,2,C
0EH,LR00337,3,C
0EH,LR00337,4,C
0EH,LR00337,5,C
0EH,LR00337,6,C
0EH,LR00337,7,C
0EH,LR00337,8,C
0EH,LR00337,9,N
0EH,LR00337,10,C
0EH,LR00337,11,O
0EH,LR00350,0,C
0EH,LR00350,1,C
0EH,LR00350,2,C
0EH,LR00350,3,C
0EH,LR00350,4,C
0EH,LR00350,5,C
0EH,LR00350,6,C
0EH,LR00350,7,C
0EH,LR00350,8,C
0EH,LR00350,9,N
0EH,LR00350,10,C
0EH,LR00350,11,O
0EH,LR00351,0,C
0EH,LR00351,1,C
0EH,LR00351,2,C
0EH,LR00351,3,C
0EH,LR00351,4,C
0EH,LR00351,5,C
0EH,LR00351,6,C
0EH,LR00351,7,C
0EH,LR00351,8,C
0EH,LR00351,9,N
0EH,LR00351,10,C
0EH,LR00351,11,O
0EH,LR00369,0,C
0EH,LR00369,1,C
0EH,LR00369,2,C
0EH,LR00369,3,C
0EH,LR00369,4,C
0EH,LR00369,5,C
0EH,LR00369,6,C
0EH,LR00369,7,C
0EH,LR00369,8,C
0EH,LR00369,9,N
0EH,LR00369,10,C
0EH,LR00369,11,O
0PL,LR00176,0,C
0PL,LR00176,1,N
0PL,LR00176,2,N
0PL,LR00176,3,N
0PL,LR00176,4,C
0PL,LR00176,5,C
0PL,LR00176,6,C
0PL,LR00176,7,C
0PL,LR00176,8,C
0PL,LR00176,9,C
0PL,LR00176,10,O
0PL,LR00176,11,O
0PL,LR00176,12,C
0PL,LR00176,13,C
0PL,LR00176,14,C
0PL,LR00176,15,C
0PL,LR00176,16,Cl
0PL,LR00176,17,C
0PL,LR00176,18,C
0PL,LR00176,19,N
0PL,LR00176,20,C
0PL,LR00176,21,S
0PL,LR00176,22,O
0PL,LR00176,23,O
0PL,LR00176,24,C
0PL,LR00176,25,C
0PL,LR00176,26,C
0PL,LR00176,27,C
0PL,LR00176,28,C
0PL,LR00176,29,C
0PL,LR00176,30,C
0PL,LR00176,31,C
0PL,LR00176,32,C
0PL,LR00176,33,C
0R2,LR00278,0,C
0R2,LR00278,1,C
0R2,LR00278,2,C
0R2,LR00278,3,C
0R2,LR00278,4,O
0R2,LR00278,5,O
0R2,LR00278,6,C
0R2,LR00278,7,C
0R2,LR00278,8,C
0R2,LR00278,9,C
0R2,LR00278,10,N
0R2,LR00278,11,C
0R2,LR00278,12,O
0R2,LR00278,13,C
0R2,LR00278,14,C
0R2,LR00278,15,C
0R2,LR00278,16,O
0R2,LR00278,17,O
0R2,LR00278,18,C
0R2,LR00278,19,C
0R2,LR00278,20,C
0R2,LR00278,21,C
0R2,LR00278,22,C
0R2,LR00278,23,C
0R2,LR00278,24,C
0R2,LR00278,25,Cl
0R2,LR00278,26,C
0R2,LR00278,27,C
0R2,LR00278,28,C
0R2,LR00278,29,C
0R2,LR00278,30,C
0R2,LR00278,31,C
0R2,LR00278,32,Cl
0R2,LR00278,33,C
0R2,LR00278,34,C
0R3,LR00279,0,C
0R3,LR00279,1,C
0R3,LR00279,2,C
0R3,LR00279,3,C
0R3,LR00279,4,C
0R3,LR00279,5,O
0R3,LR00279,6,N
