Ligase,Scaffold_ID,Original_Scaffold_ID,RECRUITER_CODE,Scaffold_SMILES,Scaffold_Hash
CHIP,LR-SCAF00262,CHIP_SCAF_1,LR00001,C1CCC(CNC[C@@H]2CCC[C@H]2NC[C@@H]2NNC3CCCCC32)CC1,ae0a943b
CHIP,LR-SCAF00032,CHIP_SCAF_2,LR00002,C1CCC([C@@H](CCN2CCCC2)NC2NN[C@@H]([C@@H]3CNC4CCCCC43)O2)NC1,12507afe
CHIP,LR-SCAF00083,CHIP_SCAF_3,LR00003,C1CCC([C@@H]2CN(NC[C@H]3CNC4CCCCC43)CN2)CC1,3ceaa0de
CHIP,LR-SCAF00252,CHIP_SCAF_4,LR00004,C1CCN(C[C@H]2CNC3CCCCC32)CC1,a72f74b5
CHIP,LR-SCAF00193,CHIP_SCAF_5,LR00005,C1CCC(NCNC2CCCC(C3NC(NCC4CCCNC4)C4CNNC4N3)C2)CC1,85e4eaf2
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00006,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00007,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00008,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00009,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00010,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00011,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00012,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00013,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00014,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00253,CRBN_SCAF_2,LR00015,C1CO[C@@H](N2CCCNC2)C1,a83825cf
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00016,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00017,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00018,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00019,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00020,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00315,CRBN_SCAF_3,LR00021,C1CCC(NCNCC2CCC3CN([C@H]4CCCNC4)CC3C2)CC1,d068cd94
CRBN,LR-SCAF00318,CRBN_SCAF_4,LR00022,C1CC2CN([C@H]3CCCNC3)CC2C(OCC2CCC(CN3CCOCC3)CC2)C1,d3e00a53
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00023,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00024,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00310,CRBN_SCAF_5,LR00025,C1CC[C@H]2CN([C@@H]3CCCNC3)C[C@@H]2C1,ce6c187c
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00026,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00027,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00150,CRBN_SCAF_6,LR00028,C1CCC(CN[C@H]2CCCNC2)CC1,6e3a2581
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00029,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00290,CRBN_SCAF_7,LR00030,C1CCC(CN[C@H]2CCNC2)CC1,c17485d6
CRBN,LR-SCAF00034,CRBN_SCAF_8,LR00031,C1CCC2CN([C@H]3CCNC3)CC2C1,13116fd1
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00032,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00033,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00034,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00035,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00036,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00037,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00132,CRBN_SCAF_9,LR00038,C1CCC(COCN[C@H]2CCNC2)CC1,5da7ed6d
CRBN,LR-SCAF00290,CRBN_SCAF_7,LR00039,C1CCC(CN[C@H]2CCNC2)CC1,c17485d6
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00040,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00020,CRBN_SCAF_10,LR00041,C1CCNC1,0c9c5086
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00042,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00070,CRBN_SCAF_11,LR00043,C1CCC(CCNCC2CCC3CN([C@H]4CCCNC4)CC3C2)CC1,34ce397c
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00044,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00045,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00082,CRBN_SCAF_12,LR00046,C1CCC(NCCC[C@H]2CCCC(NC3CCN([C@H]4CCCNC4)C3)C2)CC1,39bc19a4
CRBN,LR-SCAF00352,CRBN_SCAF_13,LR00047,C1CCC2NN([C@H]3CCCNC3)NC2C1,f02c7b93
CRBN,LR-SCAF00318,CRBN_SCAF_4,LR00048,C1CC2CN([C@H]3CCCNC3)CC2C(OCC2CCC(CN3CCOCC3)CC2)C1,d3e00a53
CRBN,LR-SCAF00154,CRBN_SCAF_14,LR00049,C1CCC2NCN([C@H]3CCCNC3)CC2C1,71cbbeb3
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00050,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00172,CRBN_SCAF_15,LR00051,C1CCC([C@H]2CCCNC2)CC1,7f22b770
CRBN,LR-SCAF00199,CRBN_SCAF_16,LR00052,C1CCC(CN2CCC(C3CC[C@@H]4CN([C@H]5CCCNC5)CC4C3)CC2)CC1,899c9c02
CRBN,LR-SCAF00340,CRBN_SCAF_17,LR00053,C1CCC(SC[C@H]2CCCNC2)CC1,e48c70e3
CRBN,LR-SCAF00340,CRBN_SCAF_17,LR00054,C1CCC(SC[C@H]2CCCNC2)CC1,e48c70e3
CRBN,LR-SCAF00183,CRBN_SCAF_18,LR00055,C1CCC(N2CCN(CC3CCC(COC4CCCC5CN([C@H]6CCCNC6)CC54)CC3)CC2)CC1,826062c2
CRBN,LR-SCAF00183,CRBN_SCAF_18,LR00056,C1CCC(N2CCN(CC3CCC(COC4CCCC5CN([C@H]6CCCNC6)CC54)CC3)CC2)CC1,826062c2
CRBN,LR-SCAF00183,CRBN_SCAF_18,LR00057,C1CCC(N2CCN(CC3CCC(COC4CCCC5CN([C@H]6CCCNC6)CC54)CC3)CC2)CC1,826062c2
CRBN,LR-SCAF00183,CRBN_SCAF_18,LR00058,C1CCC(N2CCN(CC3CCC(COC4CCCC5CN([C@H]6CCCNC6)CC54)CC3)CC2)CC1,826062c2
CRBN,LR-SCAF00318,CRBN_SCAF_4,LR00059,C1CC2CN([C@H]3CCCNC3)CC2C(OCC2CCC(CN3CCOCC3)CC2)C1,d3e00a53
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00060,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00199,CRBN_SCAF_16,LR00061,C1CCC(CN2CCC(C3CC[C@@H]4CN([C@H]5CCCNC5)CC4C3)CC2)CC1,899c9c02
CRBN,LR-SCAF00336,CRBN_SCAF_19,LR00062,C1CCC2C(NC3CCC4CN([C@H]5CCCNC5)CC4C3)NOC2C1,e2b60216
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00063,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00064,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00065,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00150,CRBN_SCAF_6,LR00066,C1CCC(CN[C@H]2CCCNC2)CC1,6e3a2581
CRBN,LR-SCAF00150,CRBN_SCAF_6,LR00067,C1CCC(CN[C@H]2CCCNC2)CC1,6e3a2581
CRBN,LR-SCAF00150,CRBN_SCAF_6,LR00068,C1CCC(CN[C@H]2CCCNC2)CC1,6e3a2581
CRBN,LR-SCAF00150,CRBN_SCAF_6,LR00069,C1CCC(CN[C@H]2CCCNC2)CC1,6e3a2581
CRBN,LR-SCAF00150,CRBN_SCAF_6,LR00070,C1CCC(CN[C@H]2CCCNC2)CC1,6e3a2581
CRBN,LR-SCAF00150,CRBN_SCAF_6,LR00071,C1CCC(CN[C@H]2CCCNC2)CC1,6e3a2581
CRBN,LR-SCAF00022,CRBN_SCAF_20,LR00072,C1CCC(C2C[C@]3(CCCNC3)ON2)CC1,0d0ae2c3
CRBN,LR-SCAF00022,CRBN_SCAF_20,LR00073,C1CCC(C2C[C@]3(CCCNC3)ON2)CC1,0d0ae2c3
CRBN,LR-SCAF00022,CRBN_SCAF_20,LR00074,C1CCC(C2C[C@]3(CCCNC3)ON2)CC1,0d0ae2c3
CRBN,LR-SCAF00022,CRBN_SCAF_20,LR00075,C1CCC(C2C[C@]3(CCCNC3)ON2)CC1,0d0ae2c3
CRBN,LR-SCAF00022,CRBN_SCAF_20,LR00076,C1CCC(C2C[C@]3(CCCNC3)ON2)CC1,0d0ae2c3
CRBN,LR-SCAF00183,CRBN_SCAF_18,LR00077,C1CCC(N2CCN(CC3CCC(COC4CCCC5CN([C@H]6CCCNC6)CC54)CC3)CC2)CC1,826062c2
CRBN,LR-SCAF00236,CRBN_SCAF_21,LR00078,C(CCCN1CCC(C2CCCC3CN([C@H]4CCCNC4)CC32)CC1)CCCN1CC(C2CCC3C(C2)[C@H](C2CCCCC2)NC2(CC2)C2NNCN32)CN1,9b8d5329
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00079,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00183,CRBN_SCAF_18,LR00080,C1CCC(N2CCN(CC3CCC(COC4CCCC5CN([C@H]6CCCNC6)CC54)CC3)CC2)CC1,826062c2
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00081,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00093,CRBN_SCAF_22,LR00082,C1CNC[C@@H](N2CC3CCC(N4CCOCC4)CC3C2)C1,41b88d7b
CRBN,LR-SCAF00093,CRBN_SCAF_22,LR00083,C1CNC[C@@H](N2CC3CCC(N4CCOCC4)CC3C2)C1,41b88d7b
CRBN,LR-SCAF00241,CRBN_SCAF_23,LR00084,C1CC[C@H](COC2CCC3CN([C@H]4CCCNC4)CC3C2)NC1,9eaa5b88
