SMILES,RECRUITER_CODE
CNC(O)C[C@H](NC(O)[C@@H]1CCC[C@H]1N[C@@H](O)[C@@H]1NNC2CCCCC21)C1CCCCC1OC,LR00001
CN(C1NN[C@@H]([C@@H]2CNC3C2[C@@H](F)[C@@H](F)[C@H](F)[C@H]3F)O1)[C@H](CCN1CCCC1)C1CCCCN1,LR00002
OC1N[C@H](C2CCCCC2)C(O)N1N[C@H](O)[C@H]1CNC2C(F)C(F)C(F)C(F)C21,LR00003
CN(C)S(O)(O)C[C@H]1CCCN(C(O)[C@H]2CNC3C(F)C(F)C(F)C(F)C32)C1,LR00004
CN1NCC2C(NCC3CCCNC3)NC(C3CCCC(NC(S)NC4CCCC(C(F)(F)F)C4)C3)NC21,LR00005
OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,LR00006
NC1CCCC2C1CN([C@H]1CCC(O)N[C@@H]1O)C2O,LR00007
NC1CCCC2C1C(O)N([C@H]1CCC(O)NC1O)C2O,LR00008
NC1CCCC2C1CN([C@H]1CCC(O)N[C@@H]1O)C2O,LR00009
OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,LR00010
NC1CCCC2C1C(O)N([C@H]1CCC(O)NC1O)C2O,LR00011
OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,LR00012
NC1CCCC2C1C(O)N([C@H]1CCC(O)NC1O)C2O,LR00013
NC1CCCC2C1CN([C@H]1CCC(O)N[C@@H]1O)C2O,LR00014
OC[C@H]1O[C@@H](N2CCC(O)NC2O)C[C@@H]1O,LR00015
OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,LR00016
OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,LR00017
OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,LR00018
OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,LR00019
NC1CCCC2C1CN([C@H]1CCC(O)N[C@@H]1O)C2O,LR00020
CC1CCC(NC(O)NCC2CCC3C(C2)CN([C@H]2CCC(O)N[C@H]2O)[C@@H]3O)CC1Cl,LR00021
OC1CC[C@H](N2CC3C(OCC4CCC(CN5CCOCC5)CC4)CCCC3C2O)C(O)N1,LR00022
OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,LR00023
OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,LR00024
OC1CC[C@@H](N2C(O)[C@@H]3CCCC[C@H]3[C@@H]2O)[C@H](O)N1,LR00025
NC1CCCC2C1C(O)N([C@H]1CCC(O)NC1O)C2O,LR00026
NC1CCCC2C1C(O)N([C@H]1CCC(O)NC1O)C2O,LR00027
OC(O)C1CCCC[C@H]1C(O)N[C@H]1CC[C@H](O)N[C@@H]1O,LR00028
OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,LR00029
OC1C[C@H](NC(O)[C@@H]2CC(N(O)O)CC[C@H]2C(O)O)C(O)N1,LR00030
NC1CCC2C(C1)C(O)N([C@H]1CC(O)NC1O)C2O,LR00031
OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,LR00032
OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,LR00033
OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,LR00034
OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,LR00035
OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,LR00036
OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,LR00037
OC1C[C@H](NC(O)OCC2CCCCC2)C(O)N1,LR00038
OC(N[C@H]1C[C@H](O)N[C@H]1O)[C@@H]1C(Cl)CC(Cl)C[C@H]1Cl,LR00039
OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,LR00040
CC(C)CC(O)N[C@H]1C[C@H](O)NC1O,LR00041
NC1CCCC2C1C(O)N([C@H]1CCC(O)NC1O)C2O,LR00042
OC1CC[C@H](N2CC3CC(CNC(O)C(F)(F)C4CCC(Cl)CC4)CCC3C2O)C(O)N1,LR00043
OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,LR00044
OC1CCC2C(C1)C(O)N([C@H]1CCC(O)NC1O)C2O,LR00045
CC1CC[C@H](NC(O)CC[C@H]2CCCC(NC3CC(O)N([C@H]4CCC(O)N[C@H]4O)C3O)C2)CC1Cl,LR00046
OC1CC[C@H](N2NC3CCCCC3N2)C(O)N1,LR00047
OC1CC[C@H](N2CC3C(OCC4CCC(CN5CCOCC5)CC4)CCCC3C2O)C(O)N1,LR00048
CC1NC2CCCC(N)C2C(O)N1[C@H]1CC[C@H](O)NC1O,LR00049
OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,LR00050
COC1CCC([C@H]2CCC(O)NC2O)CC1,LR00051
OC1CC[C@H](N2CC3CC(C4CCN(CC5CCCCC5)CC4)CC[C@@H]3C2O)C(O)N1,LR00052
NC1CCCC(SC[C@H]2CCC(O)NC2O)C1,LR00053
OC1CC[C@H](CS(O)(O)C2CCCCC2)C(O)N1,LR00054
NCC1CCC(N2CCN(CC3CCC(COC4CCCC5C4CN([C@H]4CCC(O)NC4O)C5O)CC3)CC2)C(F)C1,LR00055
NCC1CCC(N2CCN(CC3CCC(COC4CCCC5C4CN([C@H]4CCC(O)NC4O)C5O)CC3)CC2)C(F)C1,LR00056
NCC1CCC(N2CCN(CC3CCC(COC4CCCC5C4CN([C@H]4CCC(O)NC4O)C5O)CC3)CC2)C(F)C1,LR00057
NCC1CCC(N2CCN(CC3CCC(COC4CCCC5C4CN([C@H]4CCC(O)NC4O)C5O)CC3)CC2)C(F)C1,LR00058
OC1CC[C@H](N2CC3C(OCC4CCC(CN5CCOCC5)CC4)CCCC3C2O)C(O)N1,LR00059
NC1CCCC2C1C(O)N([C@H]1CCC(O)NC1O)C2O,LR00060
OC1CC[C@H](N2CC3CC(C4CCN(CC5CCCCC5)CC4)CC[C@@H]3C2O)C(O)N1,LR00061
