RECRUITER_CODE,smiles_atom_index,smile_atom
LR00001,0,C
LR00001,1,N
LR00001,2,C
LR00001,3,O
LR00001,4,C
LR00001,5,C
LR00001,6,N
LR00001,7,C
LR00001,8,O
LR00001,9,C
LR00001,10,C
LR00001,11,C
LR00001,12,C
LR00001,13,C
LR00001,14,N
LR00001,15,C
LR00001,16,O
LR00001,17,C
LR00001,18,N
LR00001,19,N
LR00001,20,C
LR00001,21,C
LR00001,22,C
LR00001,23,C
LR00001,24,C
LR00001,25,C
LR00001,26,C
LR00001,27,C
LR00001,28,C
LR00001,29,C
LR00001,30,C
LR00001,31,C
LR00001,32,O
LR00001,33,C
LR00002,0,C
LR00002,1,N
LR00002,2,C
LR00002,3,N
LR00002,4,N
LR00002,5,C
LR00002,6,C
LR00002,7,C
LR00002,8,N
LR00002,9,C
LR00002,10,C
LR00002,11,C
LR00002,12,F
LR00002,13,C
LR00002,14,F
LR00002,15,C
LR00002,16,F
LR00002,17,C
LR00002,18,F
LR00002,19,O
LR00002,20,C
LR00002,21,C
LR00002,22,C
LR00002,23,N
LR00002,24,C
LR00002,25,C
LR00002,26,C
LR00002,27,C
LR00002,28,C
LR00002,29,C
LR00002,30,C
LR00002,31,C
LR00002,32,C
LR00002,33,N
LR00003,0,O
LR00003,1,C
LR00003,2,N
LR00003,3,C
LR00003,4,C
LR00003,5,C
LR00003,6,C
LR00003,7,C
LR00003,8,C
LR00003,9,C
LR00003,10,C
LR00003,11,O
LR00003,12,N
LR00003,13,N
LR00003,14,C
LR00003,15,O
LR00003,16,C
LR00003,17,C
LR00003,18,N
LR00003,19,C
LR00003,20,C
LR00003,21,F
LR00003,22,C
LR00003,23,F
LR00003,24,C
LR00003,25,F
LR00003,26,C
LR00003,27,F
LR00003,28,C
LR00004,0,C
LR00004,1,N
LR00004,2,C
LR00004,3,S
LR00004,4,O
LR00004,5,O
LR00004,6,C
LR00004,7,C
LR00004,8,C
LR00004,9,C
LR00004,10,C
LR00004,11,N
LR00004,12,C
LR00004,13,O
LR00004,14,C
LR00004,15,C
LR00004,16,N
LR00004,17,C
LR00004,18,C
LR00004,19,F
LR00004,20,C
LR00004,21,F
LR00004,22,C
LR00004,23,F
LR00004,24,C
LR00004,25,F
LR00004,26,C
LR00004,27,C
LR00005,0,C
LR00005,1,N
LR00005,2,N
LR00005,3,C
LR00005,4,C
LR00005,5,C
LR00005,6,N
LR00005,7,C
LR00005,8,C
LR00005,9,C
LR00005,10,C
LR00005,11,C
LR00005,12,N
LR00005,13,C
LR00005,14,N
LR00005,15,C
LR00005,16,C
LR00005,17,C
LR00005,18,C
LR00005,19,C
LR00005,20,C
LR00005,21,N
LR00005,22,C
LR00005,23,S
LR00005,24,N
LR00005,25,C
LR00005,26,C
LR00005,27,C
LR00005,28,C
LR00005,29,C
LR00005,30,C
LR00005,31,F
LR00005,32,F
LR00005,33,F
LR00005,34,C
LR00005,35,C
LR00005,36,N
LR00005,37,C
LR00006,0,O
LR00006,1,C
LR00006,2,C
LR00006,3,C
LR00006,4,C
LR00006,5,N
LR00006,6,C
LR00006,7,O
LR00006,8,C
LR00006,9,C
LR00006,10,C
LR00006,11,C
LR00006,12,C
LR00006,13,C
LR00006,14,C
LR00006,15,O
LR00006,16,C
LR00006,17,O
LR00006,18,N
LR00007,0,N
LR00007,1,C
LR00007,2,C
LR00007,3,C
LR00007,4,C
LR00007,5,C
LR00007,6,C
LR00007,7,C
LR00007,8,N
LR00007,9,C
LR00007,10,C
LR00007,11,C
LR00007,12,C
LR00007,13,O
LR00007,14,N
LR00007,15,C
LR00007,16,O
LR00007,17,C
LR00007,18,O
LR00008,0,N
LR00008,1,C
LR00008,2,C
LR00008,3,C
LR00008,4,C
LR00008,5,C
LR00008,6,C
LR00008,7,C
LR00008,8,O
LR00008,9,N
LR00008,10,C
LR00008,11,C
LR00008,12,C
LR00008,13,C
LR00008,14,O
LR00008,15,N
LR00008,16,C
LR00008,17,O
LR00008,18,C
LR00008,19,O
LR00009,0,N
LR00009,1,C
LR00009,2,C
LR00009,3,C
LR00009,4,C
LR00009,5,C
LR00009,6,C
LR00009,7,C
LR00009,8,N
LR00009,9,C
LR00009,10,C
LR00009,11,C
LR00009,12,C
LR00009,13,O
LR00009,14,N
LR00009,15,C
LR00009,16,O
LR00009,17,C
LR00009,18,O
LR00010,0,O
LR00010,1,C
LR00010,2,C
LR00010,3,C
LR00010,4,C
LR00010,5,N
LR00010,6,C
LR00010,7,O
LR00010,8,C
LR00010,9,C
LR00010,10,C
LR00010,11,C
LR00010,12,C
LR00010,13,C
LR00010,14,C
LR00010,15,O
LR00010,16,C
LR00010,17,O
LR00010,18,N
LR00011,0,N
LR00011,1,C
LR00011,2,C
LR00011,3,C
LR00011,4,C
