Ligase,Scaffold_ID,Recruiter_Count,Scaffold_Hash,Original_Scaffold_ID_Group,Scaffold_SMILES,Murcko_SMILES,Scaffold_Class,Scaffold_Center_of_Mass_X,Scaffold_Center_of_Mass_Y,Scaffold_Center_of_Mass_Z,Ligase_Scaffold_Connectivity,Total_Recruiters,Recruiter_Density_Score,Shannon_Diversity_Index,Normalized_Diversity
CHIP,LR-SCAF00032,1,12507afe,CHIP_SCAF_2,C1CCC([C@@H](CCN2CCCC2)NC2NN[C@@H]([C@@H]3CNC4CCCCC43)O2)NC1,C1CCC([C@@H](CCN2CCCC2)NC2NN[C@@H]([C@@H]3CNC4CCCCC43)O2)NC1,Polycyclic_Hetero,-1.2009172998762256e-14,-0.0849867913430399,-3.7316003182612306e-14,1,5,0.2,1.6094379124341005,1.0000000000000002
CHIP,LR-SCAF00083,1,3ceaa0de,CHIP_SCAF_3,C1CCC([C@@H]2CN(NC[C@H]3CNC4CCCCC43)CN2)CC1,C1CCC([C@@H]2CN(NC[C@H]3CNC4CCCCC43)CN2)CC1,Polycyclic_Hetero,7.803281830222531e-15,7.327471962526033e-15,0.2036053606242776,1,5,0.2,1.6094379124341005,1.0000000000000002
CHIP,LR-SCAF00193,1,85e4eaf2,CHIP_SCAF_5,C1CCC(NCNC2CCCC(C3NC(NCC4CCCNC4)C4CNNC4N3)C2)CC1,C1CCC(NCNC2CCCC(C3NC(NCC4CCCNC4)C4CNNC4N3)C2)CC1,Polycyclic_Hetero,-4.1588954502458367e-14,0.0244782043266861,-1.1197466565082691e-14,1,5,0.2,1.6094379124341005,1.0000000000000002
CHIP,LR-SCAF00252,1,a72f74b5,CHIP_SCAF_4,C1CCN(C[C@H]2CNC3CCCCC32)CC1,C1CCN(C[C@H]2CNC3CCCCC32)CC1,Polycyclic_Hetero,9.093255249310805e-16,2.0089749969407595e-16,-0.02966759718081,1,5,0.2,1.6094379124341005,1.0000000000000002
CHIP,LR-SCAF00262,1,ae0a943b,CHIP_SCAF_1,C1CCC(CNC[C@@H]2CCC[C@H]2NC[C@@H]2NNC3CCCCC32)CC1,C1CCC(CNC[C@@H]2CCC[C@H]2NC[C@@H]2NNC3CCCCC32)CC1,Polycyclic_Hetero,5.397391935100761e-15,-3.347749428100472e-16,0.0479855846200887,1,5,0.2,1.6094379124341005,1.0000000000000002
CRBN,LR-SCAF00372,39,fff95c25,CRBN_SCAF_1,C1CCC2CN([C@H]3CCCNC3)CC2C1,C1CCC2CN([C@H]3CCCNC3)CC2C1,Polycyclic_Hetero,-4.591199215680647e-14,-4.828046794267348e-15,-1.5365379908598262e-14,1,108,0.3611111111111111,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00150,7,6e3a2581,CRBN_SCAF_6,C1CCC(CN[C@H]2CCCNC2)CC1,C1CCC(CN[C@H]2CCCNC2)CC1,Bicyclic_Hetero,-1.7529837230923524e-14,-4.0629049832088366e-15,0.0570404006111241,1,108,0.06481481481481481,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00183,6,826062c2,CRBN_SCAF_18,C1CCC(N2CCN(CC3CCC(COC4CCCC5CN([C@H]6CCCNC6)CC54)CC3)CC2)CC1,C1CCC(N2CCN(CC3CCC(COC4CCCC5CN([C@H]6CCCNC6)CC54)CC3)CC2)CC1,Polycyclic_Hetero,4.666798348728701e-14,-0.0290323029562063,5.598445049750752e-13,1,108,0.05555555555555555,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00022,5,0d0ae2c3,CRBN_SCAF_20,C1CCC(C2C[C@]3(CCCNC3)ON2)CC1,C1CCC(C2C[C@]3(CCCNC3)ON2)CC1,Polycyclic_Hetero,3.1530333899354444e-15,-2.042810365310288e-15,-0.0765823715613983,1,108,0.046296296296296294,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00318,4,d3e00a53,CRBN_SCAF_4,C1CC2CN([C@H]3CCCNC3)CC2C(OCC2CCC(CN3CCOCC3)CC2)C1,C1CC2CN([C@H]3CCCNC3)CC2C(OCC2CCC(CN3CCOCC3)CC2)C1,Polycyclic_Hetero,-1.2082742214166348e-14,4.6025405708860496e-14,0.0128501138210785,1,108,0.037037037037037035,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00082,2,39bc19a4,CRBN_SCAF_12,C1CCC(NCCC[C@H]2CCCC(NC3CCN([C@H]4CCCNC4)C3)C2)CC1,C1CCC(NCCC[C@H]2CCCC(NC3CCN([C@H]4CCCNC4)C3)C2)CC1,Polycyclic_Hetero,9.577924039468918e-15,8.791766113923537e-16,-0.0426798961522824,1,108,0.018518518518518517,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00093,2,41b88d7b,CRBN_SCAF_22,C1CNC[C@@H](N2CC3CCC(N4CCOCC4)CC3C2)C1,C1CNC[C@@H](N2CC3CCC(N4CCOCC4)CC3C2)C1,Polycyclic_Hetero,1.4424359143014535e-14,-5.6151664514695415e-16,-0.0375596828607062,1,108,0.018518518518518517,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00172,2,7f22b770,CRBN_SCAF_15,C1CCC([C@H]2CCCNC2)CC1,C1CCC([C@H]2CCCNC2)CC1,Bicyclic_Hetero,-2.0185873175002848e-15,-2.9336802347670805e-15,0.0933765827164842,1,108,0.018518518518518517,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00199,2,899c9c02,CRBN_SCAF_16,C1CCC(CN2CCC(C3CC[C@@H]4CN([C@H]5CCCNC5)CC4C3)CC2)CC1,C1CCC(CN2CCC(C3CC[C@@H]4CN([C@H]5CCCNC5)CC4C3)CC2)CC1,Polycyclic_Hetero,4.4287252708335015e-14,-2.8799261301449482e-15,-0.1147820635632124,1,108,0.018518518518518517,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00234,2,9b07acb7,CRBN_SCAF_30,C1CNC[C@@H](N2CC(C3CCSC3)NN2)C1,C1CNC[C@@H](N2CC(C3CCSC3)NN2)C1,Polycyclic_Hetero,-1.9972327885098868e-14,-1.1449905351331547e-14,0.0570404006111177,1,108,0.018518518518518517,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00290,2,c17485d6,CRBN_SCAF_7,C1CCC(CN[C@H]2CCNC2)CC1,C1CCC(CN[C@H]2CCNC2)CC1,Bicyclic_Hetero,2.6175886854876548e-14,-1.1260833535483732e-14,0.0923930035434052,1,108,0.018518518518518517,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00315,2,d068cd94,CRBN_SCAF_3,C1CCC(NCNCC2CCC3CN([C@H]4CCCNC4)CC3C2)CC1,C1CCC(NCNCC2CCC3CN([C@H]4CCCNC4)CC3C2)CC1,Polycyclic_Hetero,9.769962616701378e-15,6.7125792104259455e-15,-0.0270373642266576,1,108,0.018518518518518517,2.90496869051847,0.7676593859041309
