Unified_Scaffold_ID,Supercluster_Key,Scaffold_Hash,Representative_Scaffold_SMILES,Representative_Murcko_SMILES,Scaffold_Class,Ligase_Count,Ligases,Ligase_Local_Scaffold_Count,Original_Scaffold_ID_Group,Recruiter_Count,Recruiter_Code_Group,Is_Cross_Ligase_Supercluster
LR-SCAF00231,9970801b,9970801b,C1CCCCC1,C1CCCCC1,Monocyclic,6,KEAP1;LIVIN;MDM2;TRIM21;XIAP;cIAP1,6,KEAP1_SCAF_12;LIVIN_SCAF_7;MDM2_SCAF_4;TRIM21_SCAF_2;XIAP_SCAF_10;cIAP1_SCAF_4,21,LR00173;LR00179;LR00257;LR00264;LR00368;LR00388;LR00414;LR00418;LR00420;LR00430;LR00438;LR00447;LR00448;LR00455;LR00474;LR00478;LR00482;LR00566;LR00568;LR00589;LR00594,True
LR-SCAF00219,927a5aa0,927a5aa0,C1CCNCC1,C1CCNCC1,Monocyclic_Hetero,3,KEAP1;TRIM21;XIAP,3,KEAP1_SCAF_40;TRIM21_SCAF_19;XIAP_SCAF_14,8,LR00211;LR00408;LR00410;LR00437;LR00475;LR00477;LR00483;LR00572,True
LR-SCAF00166,788cb04f,788cb04f,C1CCC(C2N[C@@H](C3CCCCC3)[C@@H](C3CCCCC3)N2CN2CCNCC2)CC1,C1CCC(C2N[C@@H](C3CCCCC3)[C@@H](C3CCCCC3)N2CN2CCNCC2)CC1,Polycyclic_Hetero,2,MDM2;MDMX,2,MDM2_SCAF_1;MDMX_SCAF_2,6,LR00258;LR00259;LR00367;LR00375;LR00376;LR00377,True
LR-SCAF00053,27da9cc8,27da9cc8,C1CCC(C(NC[C@@H]2CC[C@@H]3CCCCCN32)C2CCCCC2)CC1,C1CCC(C(NC[C@@H]2CC[C@@H]3CCCCCN32)C2CCCCC2)CC1,Polycyclic_Hetero,2,XIAP;cIAP1,2,XIAP_SCAF_5;cIAP1_SCAF_1,5,LR00558;LR00559;LR00560;LR00561;LR00591,True
LR-SCAF00124,56715195,56715195,C1CCC(CC2CNC3CCN(CCN4CC[NH2+]C[C@@H]4CN4CCOCC4)C3C2)CC1,C1CCC(CC2CNC3CCN(CCN4CC[NH2+]C[C@@H]4CN4CCOCC4)C3C2)CC1,Polycyclic_Hetero,2,XIAP;cIAP1,2,XIAP_SCAF_21;cIAP1_SCAF_9,5,LR00581;LR00582;LR00584;LR00586;LR00601,True
LR-SCAF00067,333d7b8c,333d7b8c,C1CCC(CCN2C[C@H]3CCCN3C[C@H]2CN[C@@H]2CCOC3CCCCC32)CC1,C1CCC(CCN2C[C@H]3CCCN3C[C@H]2CN[C@@H]2CCOC3CCCCC32)CC1,Polycyclic_Hetero,2,XIAP;cIAP1,2,XIAP_SCAF_7;cIAP1_SCAF_6,4,LR00563;LR00596;LR00598;LR00599,True
LR-SCAF00206,8b7236b6,8b7236b6,C1CNCN1,C1CNCN1,Monocyclic_Hetero,2,MDM2;VHL,2,MDM2_SCAF_5;VHL_SCAF_24,3,LR00265;LR00539;LR00548,True
LR-SCAF00005,00e15ffe,00e15ffe,C1CCC(C2CSNN2)CC1,C1CCC(C2CSNN2)CC1,Bicyclic_Hetero,2,LIVIN;cIAP1,2,LIVIN_SCAF_6;cIAP1_SCAF_3,2,LR00256;LR00593,True
LR-SCAF00020,0c9c5086,0c9c5086,C1CCNC1,C1CCNC1,Monocyclic_Hetero,2,CRBN;VHL,2,CRBN_SCAF_10;VHL_SCAF_4,2,LR00041;LR00499,True
LR-SCAF00035,133168ec,133168ec,C1CCC(CN2CCNCC2)CC1,C1CCC(CN2CCNCC2)CC1,Bicyclic_Hetero,2,TRIM21;VHL,2,TRIM21_SCAF_71;VHL_SCAF_33,2,LR00480;LR00551,True
