RECRUITER_CODE,MasterRecruiter,Ligand
LR00273,LR00273,03M
LR00274,LR00273,03M
LR00272,LR00272,07G
LR00191,LR00191,08A
LR00192,LR00191,08A
LR00256,LR00256,0DQ
LR00593,LR00256,0DQ
LR00300,LR00300,0EH
LR00312,LR00300,0EH
LR00333,LR00300,0EH
LR00337,LR00300,0EH
LR00350,LR00300,0EH
LR00351,LR00300,0EH
LR00369,LR00300,0EH
LR00176,LR00176,0PL
LR00278,LR00278,0R2
LR00279,LR00279,0R3
LR00280,LR00280,0Y7
LR00161,LR00161,12O
LR00563,LR00563,1AQ
LR00596,LR00563,1AQ
LR00595,LR00595,1BG
LR00362,LR00362,1GI
LR00363,LR00363,1I0
LR00364,LR00364,1I3
LR00365,LR00365,1I9
LR00289,LR00289,1MN
LR00290,LR00290,1MO
LR00291,LR00291,1MQ
LR00292,LR00292,1MT
LR00293,LR00293,1MY
LR00288,LR00288,1OY
LR00564,LR00564,1RH
LR00565,LR00565,1RK
LR00165,LR00165,1VW
LR00166,LR00166,1VX
LR00597,LR00597,1Y0
LR00598,LR00598,1YH
LR00294,LR00294,20Q
LR00295,LR00295,20U
LR00296,LR00296,20W
LR00298,LR00298,28W
LR00299,LR00298,28W
LR00599,LR00599,2DX
LR00600,LR00600,2DY
LR00167,LR00167,2FS
LR00301,LR00301,2SW
LR00302,LR00302,2TW
LR00303,LR00303,2TZ
LR00304,LR00304,2U0
LR00305,LR00305,2U1
LR00306,LR00306,2U5
LR00307,LR00307,2U6
LR00308,LR00308,2U7
LR00309,LR00309,2V8
LR00310,LR00310,35S
LR00311,LR00311,35T
LR00509,LR00509,3JF
LR00542,LR00509,3JF
LR00504,LR00504,3JG
LR00511,LR00511,3JH
LR00513,LR00513,3JJ
LR00505,LR00505,3JK
LR00512,LR00512,3JO
LR00510,LR00510,3JS
LR00506,LR00506,3JT
LR00507,LR00507,3JU
LR00508,LR00508,3JV
LR00567,LR00567,3V8
LR00252,LR00252,419
LR00168,LR00168,41P
LR00494,LR00494,4C1
LR00493,LR00493,4CN
LR00162,LR00162,4ID
LR00163,LR00162,4ID
LR00566,LR00566,4LZ
LR00313,LR00313,4NJ
LR00314,LR00314,4NX
LR00315,LR00315,4SS
LR00316,LR00316,4T4
LR00317,LR00317,4TH
LR00570,LR00570,4WJ
LR00569,LR00569,4WK
LR00571,LR00571,4XE
LR00572,LR00572,4XF
LR00575,LR00575,4YC
LR00574,LR00574,4YD
LR00573,LR00573,4YE
LR00576,LR00576,4YF
LR00578,LR00578,4YL
LR00577,LR00577,4YN
LR00517,LR00517,4YY
LR00254,LR00254,516
LR00170,LR00170,51M
LR00156,LR00156,51X
LR00172,LR00172,58E
LR00218,LR00218,5QZ
LR00222,LR00222,5RB
LR00221,LR00221,5RQ
LR00216,LR00216,5UI
LR00220,LR00220,5UZ
LR00217,LR00217,5VX
LR00219,LR00219,5X9
LR00251,LR00251,618
LR00261,LR00261,6CW
LR00262,LR00261,6CW
LR00263,LR00261,6CW
LR00334,LR00261,6CW
LR00025,LR00025,6EL
LR00321,LR00321,6GG
LR00322,LR00321,6GG
LR00324,LR00324,6SJ
LR00323,LR00323,6SK
LR00325,LR00325,6SS
LR00326,LR00326,6ST
LR00514,LR00514,6Z3
LR00327,LR00327,6ZT
LR00178,LR00178,75K
LR00583,LR00583,7H8
LR00582,LR00582,7H9
LR00601,LR00582,7H9
LR00330,LR00330,7HC
LR00579,LR00579,7HT
LR00580,LR00580,7HU
LR00581,LR00581,7J6
LR00588,LR00588,7PE
LR00047,LR00047,7SE
LR00049,LR00049,835
LR00255,LR00255,851
LR00021,LR00021,85C
LR00111,LR00021,85C
LR00022,LR00022,8W7
LR00048,LR00022,8W7
LR00059,LR00022,8W7
LR00085,LR00022,8W7
LR00224,LR00224,8ZL
LR00225,LR00225,91M
LR00223,LR00223,92I
LR00555,LR00555,997
LR00554,LR00554,998
LR00518,LR00518,9B5
LR00522,LR00522,9B8
LR00521,LR00521,9BH
