SMILES,Recruiter_1,Recruiter_2,Recruiter_3,Recruiter_4,Recruiter_5,Recruiter_6,Recruiter_7,Recruiter_8,Recruiter_9,Recruiter_10,Recruiter_11,Recruiter_12,Recruiter_13,Recruiter_14,Recruiter_15,Recruiter_16,Recruiter_17,Recruiter_18,Recruiter_19,Recruiter_20
BrC1CCC([C@H]2O[C@H]3CCCCC3C3NC4NCNN4[C@@H](C4CCC(Br)CC4)C32)CC1,LR00266,,,,,,,,,,,,,,,,,,,
BrC1CNN(C2CC[NH2+]CC2)C1,LR00570,,,,,,,,,,,,,,,,,,,
C1CNC(N2CC[C@]3(CCOC3)C2)CN1,LR00390,,,,,,,,,,,,,,,,,,,
C1CO[C@@H](CNC2CCNCC2)C1,LR00434,,,,,,,,,,,,,,,,,,,
CC(C)(C)CN1C[C@@H](N)[C@H](C2CCCC(Cl)C2)[C@]12C(O)NC1CC(Cl)CCC12,LR00323,,,,,,,,,,,,,,,,,,,
CC(C)(C)C[C@@H](O)N1C[C@H](O)C[C@H]1C(O)NCC1CCC(C2CNCO2)CC1,LR00504,,,,,,,,,,,,,,,,,,,
CC(C)(C)C[C@@H](O)N1C[C@H](O)C[C@H]1C(O)NCC1CCC(C2CNCS2)CC1,LR00506,,,,,,,,,,,,,,,,,,,
CC(C)(C)C[C@@H]1N[C@@H](C(O)NC2CCC(C(N)O)CC2)[C@H](C2CCCC(Cl)C2F)[C@]12C(O)NC1CC(Cl)CCC12,LR00295,,,,,,,,,,,,,,,,,,,
CC(C)(C)C[C@@H]1N[C@@H](C(O)NCCN)[C@H]([C@@H]2CCC[C@H](Cl)C2F)[C@]12C(O)NC1CC(Cl)CCC12,LR00292,,,,,,,,,,,,,,,,,,,
CC(C)(C)C[C@@H]1N[C@@H](C(O)NCC[C@H](O)CO)[C@H](C2CCCC(Cl)C2)[C@@]1(CN)C1CCC(Cl)CC1,LR00287,,,,,,,,,,,,,,,,,,,
CC(C)(C)C[C@@H]1N[C@@H](C(O)NCC[C@H](O)CO)[C@H](C2CCCC(Cl)C2F)[C@@]1(CN)C1CCC(Cl)CC1F,LR00288,,,,,,,,,,,,,,,,,,,
CC(C)(C)C[C@@H]1N[C@@H](C(O)N[C@H]2CC[C@H](O)CC2)[C@H]([C@@H]2CCCC(Cl)C2F)[C@]12C(O)NC1CC(Cl)CCC12,LR00330,,,,,,,,,,,,,,,,,,,
CC(C)(C)C[C@H]1N[C@@H]([C@H](N)O)[C@@H]([C@@H]2CCCC(Cl)C2F)[C@]12C(O)NC1CC(Cl)CCC12,LR00270,,,,,,,,,,,,,,,,,,,
CC(C)(C)NC(O)CC1CC[C@@H](Cl)CC1N1C(C2CCCCC2)N[C@@H](C2NNNN2)[C@@H]1[C@@H]1CCC(F)C(Cl)C1,LR00345,,,,,,,,,,,,,,,,,,,
