Unified_Scaffold_ID,Scaffold_Hash,Original_Scaffold_ID
LR-SCAF00001,0083d9fe,TRIM21_SCAF_43
LR-SCAF00002,009a993d,KEAP1_SCAF_48
LR-SCAF00003,00b73929,XIAP_SCAF_8
LR-SCAF00004,00b85fcf,MDM2_SCAF_56
LR-SCAF00005,00e15ffe,LIVIN_SCAF_6
LR-SCAF00005,00e15ffe,cIAP1_SCAF_3
LR-SCAF00006,032061a8,DCAF16_SCAF_1
LR-SCAF00007,043dd9aa,DCAF15_SCAF_4
LR-SCAF00008,053d8906,TRIM21_SCAF_39
LR-SCAF00009,0675e058,MDM2_SCAF_23
LR-SCAF00010,06f0bb70,TRIM21_SCAF_29
LR-SCAF00011,071ba927,DCAF1_SCAF_16
LR-SCAF00012,086ab553,KEAP1_SCAF_11
LR-SCAF00013,0a042f59,XIAP_SCAF_24
LR-SCAF00014,0b44a4fd,VHL_SCAF_8
LR-SCAF00015,0b61e353,KEAP1_SCAF_1
LR-SCAF00016,0bf24258,XIAP_SCAF_22
LR-SCAF00017,0c0fa4cc,KEAP1_SCAF_22
LR-SCAF00018,0c3aa7a7,MDM2_SCAF_57
LR-SCAF00019,0c44a538,MDM2_SCAF_20
LR-SCAF00020,0c9c5086,CRBN_SCAF_10
LR-SCAF00020,0c9c5086,VHL_SCAF_4
LR-SCAF00021,0ccf5625,MDM2_SCAF_42
LR-SCAF00022,0d0ae2c3,CRBN_SCAF_20
LR-SCAF00023,0d78dc29,KEAP1_SCAF_29
LR-SCAF00024,0da27555,MDM2_SCAF_27
LR-SCAF00025,0dad107d,DCAF1_SCAF_7
LR-SCAF00026,0e582485,XIAP_SCAF_18
LR-SCAF00027,0ee46d59,CRBN_SCAF_37
LR-SCAF00028,0f02df96,MDM2_SCAF_12
LR-SCAF00029,0faf60ca,TRIM21_SCAF_51
LR-SCAF00030,0fbb2ced,KEAP1_SCAF_65
LR-SCAF00031,102917a2,MDM2_SCAF_102917a2
LR-SCAF00032,12507afe,CHIP_SCAF_2
LR-SCAF00033,12b930c3,VHL_SCAF_6
LR-SCAF00034,13116fd1,CRBN_SCAF_8
LR-SCAF00035,133168ec,TRIM21_SCAF_71
LR-SCAF00035,133168ec,VHL_SCAF_33
LR-SCAF00036,14f6f8f5,KEAP1_SCAF_10
LR-SCAF00037,1511e832,XIAP_SCAF_1511e832
LR-SCAF00038,15b30740,TRIM21_SCAF_68
LR-SCAF00039,169d2e4b,VHL_SCAF_17
LR-SCAF00040,1713e683,MDM2_SCAF_31
LR-SCAF00041,178aadff,VHL_SCAF_29
LR-SCAF00042,1abbb07f,KEAP1_SCAF_47
LR-SCAF00043,1bd1f33b,XIAP_SCAF_1bd1f33b
LR-SCAF00044,1cb86c8a,TRIM21_SCAF_62
LR-SCAF00045,1f579ed4,cIAP1_SCAF_7
LR-SCAF00046,1fad0399,KEAP1_SCAF_23
LR-SCAF00047,1fbf69f8,XIAP_SCAF_4
LR-SCAF00048,212e4828,MDM2_SCAF_45
LR-SCAF00049,24459e25,KEAP1_SCAF_32
LR-SCAF00050,25ff9195,TRIM21_SCAF_72
LR-SCAF00051,2765e0b6,VHL_SCAF_3
LR-SCAF00052,2791a328,KEAP1_SCAF_50
LR-SCAF00053,27da9cc8,XIAP_SCAF_5
LR-SCAF00053,27da9cc8,cIAP1_SCAF_1
LR-SCAF00054,2a117df0,VHL_SCAF_19
LR-SCAF00055,2b3918c7,KEAP1_SCAF_64
LR-SCAF00056,2bb33eb6,KEAP1_SCAF_41
LR-SCAF00057,2bcd9a35,VHL_SCAF_26
LR-SCAF00058,2bf86e3e,MDM2_SCAF_2bf86e3e
LR-SCAF00059,2d9e0be4,KEAP1_SCAF_71
LR-SCAF00060,2dd93745,CRBN_SCAF_35
LR-SCAF00061,2ddaaf80,VHL_SCAF_27
LR-SCAF00062,2f999cf2,MDM2_SCAF_67
LR-SCAF00063,3091a07a,VHL_SCAF_16
LR-SCAF00064,31cd49bd,TRIM21_SCAF_10
LR-SCAF00065,327c8c7c,KEAP1_SCAF_19
LR-SCAF00066,32fb4803,TRIM21_SCAF_1
LR-SCAF00067,333d7b8c,XIAP_SCAF_7
LR-SCAF00067,333d7b8c,cIAP1_SCAF_6
LR-SCAF00068,33529d62,TRIM21_SCAF_73
LR-SCAF00069,335aedd3,KEAP1_SCAF_14
LR-SCAF00070,34ce397c,CRBN_SCAF_11
LR-SCAF00071,355b794b,TRIM21_SCAF_59
LR-SCAF00072,35770470,MDM2_SCAF_50
LR-SCAF00073,3601580f,TRIM21_SCAF_34
LR-SCAF00074,365c2417,VHL_SCAF_23
LR-SCAF00075,3689d426,MDM2_SCAF_17
LR-SCAF00076,37069af6,MDM2_SCAF_35
LR-SCAF00077,373a41fe,KEAP1_SCAF_27
LR-SCAF00078,37b3cd5b,MDM2_SCAF_70
LR-SCAF00079,37d997fe,cIAP1_SCAF_5
LR-SCAF00080,392becf9,KEAP1_SCAF_3
LR-SCAF00081,39972972,KEAP1_SCAF_43
LR-SCAF00082,39bc19a4,CRBN_SCAF_12
LR-SCAF00083,3ceaa0de,CHIP_SCAF_3
LR-SCAF00084,3dcd0ae8,KEAP1_SCAF_42
LR-SCAF00085,3e761c10,KEAP1_SCAF_24
LR-SCAF00086,3f56c184,MDM2_SCAF_8
LR-SCAF00087,3fb6ede7,MDM2_SCAF_41
LR-SCAF00088,408680a6,MDM2_SCAF_408680a6
LR-SCAF00089,40f65361,MDM2_SCAF_28
LR-SCAF00090,413c3ba4,MDM2_SCAF_19
LR-SCAF00091,414d9e31,KEAP1_SCAF_30
LR-SCAF00092,4168d13e,TRIM21_SCAF_5
LR-SCAF00093,41b88d7b,CRBN_SCAF_22
LR-SCAF00094,41e54732,TRIM21_SCAF_41
LR-SCAF00095,4201b5e7,TRIM21_SCAF_31
LR-SCAF00096,44341e76,XIAP_SCAF_20
LR-SCAF00097,4479504e,VHL_SCAF_9
LR-SCAF00098,45c0b344,DCAF1_SCAF_4
LR-SCAF00099,45d0eae5,GID4_SCAF_1
LR-SCAF00100,45f0c228,XIAP_SCAF_23
LR-SCAF00100,45f0c228,cIAP1_SCAF_10
LR-SCAF00101,475e369c,MDM2_SCAF_26
LR-SCAF00102,47ad247e,VHL_SCAF_11
LR-SCAF00103,4854b51b,MDM2_SCAF_25
LR-SCAF00104,488d2785,MDM2_SCAF_18
LR-SCAF00105,491e9e63,VHL_SCAF_25
LR-SCAF00106,4af46abe,MDM2_SCAF_59
LR-SCAF00107,4c4bef8e,TRIM21_SCAF_48
LR-SCAF00108,4c5b1339,DCAF1_SCAF_15
LR-SCAF00109,4cab11d7,TRIM21_SCAF_78
LR-SCAF00110,4d6e1598,MDM2_SCAF_43
LR-SCAF00111,4d932007,XIAP_SCAF_12
LR-SCAF00112,5071bba5,MDM2_SCAF_49
LR-SCAF00113,50e510ac,TRIM24_SCAF_1
LR-SCAF00114,51968811,MDM2_SCAF_21
LR-SCAF00115,52affb69,TRIM21_SCAF_76
LR-SCAF00116,53403914,CRBN_SCAF_44
LR-SCAF00117,53e91f1f,CRBN_SCAF_32
LR-SCAF00118,5429c8b4,KEAP1_SCAF_5
LR-SCAF00119,54426dda,KEAP1_SCAF_67
LR-SCAF00120,546ff65b,TRIM21_SCAF_54
LR-SCAF00121,553161db,DCAF1_SCAF_3
LR-SCAF00122,55516ce1,VHL_SCAF_15
LR-SCAF00123,561ef090,KEAP1_SCAF_37
LR-SCAF00124,56715195,XIAP_SCAF_21
LR-SCAF00124,56715195,cIAP1_SCAF_9
LR-SCAF00125,56acc5a7,KEAP1_SCAF_7
LR-SCAF00126,5999df73,TRIM21_SCAF_42
LR-SCAF00127,59a4b7b9,MDM2_SCAF_68
LR-SCAF00128,59b05290,VHL_SCAF_22
LR-SCAF00129,5af33132,VHL_SCAF_5
LR-SCAF00130,5b1cfc5b,KEAP1_SCAF_36
LR-SCAF00131,5bb4cd96,KEAP1_SCAF_13
LR-SCAF00132,5da7ed6d,CRBN_SCAF_9
LR-SCAF00133,5dc0c122,TRIM21_SCAF_8
LR-SCAF00134,5e762187,MDM2_SCAF_60
LR-SCAF00135,5f481d92,TRIM21_SCAF_74
LR-SCAF00136,5f5a5983,cIAP1_SCAF_11
LR-SCAF00137,60105a36,CRBN_SCAF_43
LR-SCAF00138,60206d7e,MDM2_SCAF_14
LR-SCAF00139,602da2b8,MDM2_SCAF_13
LR-SCAF00140,626f25b5,cIAP1_SCAF_2
LR-SCAF00141,62e8bf8e,KEAP1_SCAF_52
LR-SCAF00142,6317954b,CRBN_SCAF_28
LR-SCAF00143,6367056e,MDM2_SCAF_24
LR-SCAF00144,650cd44b,TRIM21_SCAF_66
LR-SCAF00145,663967fd,DCAF1_SCAF_9
LR-SCAF00146,667ff8dd,MDM2_SCAF_44
LR-SCAF00147,67641f8b,MDM2_SCAF_6
LR-SCAF00148,6b18dffe,TRIM21_SCAF_55
LR-SCAF00149,6b26f3cb,MDM2_SCAF_58
LR-SCAF00150,6e3a2581,CRBN_SCAF_6
LR-SCAF00151,6f5e9f96,CRBN_SCAF_27
LR-SCAF00152,70532317,TRIM21_SCAF_18
LR-SCAF00153,70c32d6f,TRIM21_SCAF_77
LR-SCAF00154,71cbbeb3,CRBN_SCAF_14
LR-SCAF00155,71e77d66,MDM2_SCAF_10
LR-SCAF00156,732bbfed,TRIM21_SCAF_63
LR-SCAF00157,73e3831c,KEAP1_SCAF_4
LR-SCAF00158,7484f9ab,KEAP1_SCAF_31
LR-SCAF00159,74f865b6,TRIM21_SCAF_60
LR-SCAF00160,76042db5,KEAP1_SCAF_28
LR-SCAF00161,760ab01a,MDM2_SCAF_760ab01a
LR-SCAF00162,76cf83bf,MDM2_SCAF_55
LR-SCAF00163,779a246f,CRBN_SCAF_29
LR-SCAF00164,7828a6cd,MDM2_SCAF_29
LR-SCAF00165,7869e375,VHL_SCAF_2
LR-SCAF00166,788cb04f,MDM2_SCAF_1
LR-SCAF00166,788cb04f,MDMX_SCAF_2
LR-SCAF00167,7891074f,TRIM21_SCAF_23
LR-SCAF00168,79dc462f,KEAP1_SCAF_17
